word or phrase,translation
勇む,"to be in high spirits, to be encouraged, to be lively, to cheer up"
遺産,"inheritance, bequest, legacy, heritage"
居酒屋,"izakaya, Japanese bar that also serves various dishes and snacks"
いざこざ,"trouble, quarrel, difficulties, complication, tangle"
遺志,"wishes of a deceased person, dying wish"
医師,"doctor, physician"
意思,"intention, wish, purpose, mind (to do)"
意志,"will, volition, intention, intent, determination"
石,"stone, jewel, precious stone, flint (in a lighter), stone, stone (in the bladder, kidney etc.), calculus"
石頭,"obstinate person, stubbornness, pigheadedness, hard head (like a rock)"
医師会,medical association
石垣,stone wall
意識,"consciousness, becoming aware (of), awareness, sense, mano-vijnana (mental consciousness, cognizer of sensory information)"
意識調査,"attitude survey, opinion poll"
意識的,"conscious, deliberate, intentional"
石組み,arrangement of stones in a garden
意思決定,decision-making
石ころ,"(small) stone, rock, pebble"
礎,"foundation stone, cornerstone"
意思疎通,"(coming to a) mutual understanding, understanding each other"
石畳,"stone paving, cobble paving, sett, flagstone, stone steps, check (pattern), pavé, rectangular dessert (usu. made from chocolate or several layers of sponge cake)"
石段,"(flight of) stone steps, stone stairway"
異質,"different (quality, nature), heterogeneous"
遺失,loss
遺失物,"lost article, lost property"
石造り,"(made of) stone, stone-built"
石橋,stone bridge
意思表示,"expressing ones feelings, communicating ones intention, declaration of intent"
碑,"stone monument bearing an inscription (esp. memorial for future generations), stele, stela"
医者,"doctor, physician"
慰謝,consolation
石山,stony mountain
異種,"different kind (species, variety), heterologous, heterogenous"
異臭,"offensive smell, off-flavor, off-flavour"
萎縮,"withering, shrivelling, shrinking, atrophy, contraction"
遺書,"note left by a dead person, suicide note, testamentary letter, will, testament, posthumous work"
衣装,"clothing, costume, outfit, garment, dress"
意匠,"design, idea, conception, plan"
衣食,"food and clothing, livelihood, living, to feed and clothe"
異色,"unique, distinctive, novel, singular, unusual, special, different color (colour)"
委嘱,"commissioning, entrusting (with), request, appointment (to a position)"
移植,"transplanting (a plant), transplant, grafting, transplantation (of an organ, tissue, etc.), transplant, embryo transfer, embryo transplant, porting (software)"
衣食住,"food, clothing and shelter, necessities of life"
石綿,asbestos
威信,"prestige, dignity"
維新,"reformation, revolution, renewal, Meiji Restoration, Nippon Ishin no Kai, Japan Innovation Party"
以心伝心,"telepathy, tacit understanding, thought transference, communion of mind with mind, non-verbal Zen Buddhist transmission to a disciple of the central tenets of Buddhism"
意地,"stubbornness, obstinacy, willpower, pride, disposition, nature, appetite, desire, greed"
遺児,"orphan, child left by the deceased, abandoned child"
維持,"maintenance, preservation, improvement"
医事,medical practice
虐め,"bullying, teasing"
苛める,"to ill-treat, to bully, to torment, to pick on, to tease, to be cruel to, to persecute, to be tough on (e.g. ones body), to treat harshly"
移住,"migration, immigration"
異状,"something wrong, accident, change, abnormality, aberration"
移譲,"transfer, assignment"
以上,"not less than ..., ... and over, ... and above, ... and upwards, ... or more, beyond (e.g. ones expectations), above, more than, further than, the above, the above-mentioned, the aforementioned, the foregoing, since ..., seeing that ..., now that ..., once ..., thats all, that is the end, the end"
異常,"strangeness, abnormality, disorder"
弄る,"to finger, to touch, to play with, to fiddle with, to toy with, to make changes to, to tinker with, to tamper with, to dabble in, to do as a hobby, to play around with, to tease, to make fun of, to grope, to feel around (in ones pocket, bag, etc.)"
意地悪,"malicious, ill-tempered, unkind, mean, nasty"
偉人,"great person, eminent figure"
椅子,"chair, stool, post, office, position"
居座り,remaining
居座る,"to remain, to stay (somewhere)"
泉,"spring, fountain"
何れ,"where, which, who, anyway, anyhow, at any rate, sooner or later, eventually, one of these days, at some future date or time, both, either, any, all, whichever"
異性,"the opposite sex, isomerism"
威勢,"power, might, authority, influence, spirits, vigor, vigour, energy, boldness"
為政者,"statesman, administrator, politician, policymaker"
移籍,"transfer (of ones name into another family register), transfer (to another team, company, etc.)"
遺跡,"(archeological) remains, ruins, relics"
異説,"different view, alternative theory, dissenting view"
移設,"relocation (of facilities, an institution, factory, etc.), moving (to a different site)"
以前,"before, prior to, ago, the past, before, previously, former times"
依然,"still, as yet, as it has been"
依然として,"still, as yet, as of old"
磯,"(rocky) beach, seashore"
いそいそ,"cheerfully, joyously, joyfully, happily, lightheartedly, excitedly, eagerly"
急いで,"hurriedly, in haste, in a rush, quickly, hurry up!, quickly!, get going!"
位相,"phase (e.g. wave, electricity, moon), topology, register"
移送,"transfer, transport, transportation"
居候,"lodger who pays nothing for room and board, freeloader, sponger"
忙しい,"busy, occupied, hectic, restless, hurried, fidgety"
急ぎ,"haste, hurry, expedition, speed, dispatch"
急ぎ足,"fast pace, quick pace"
急ぐ,"to hurry, to rush, to hasten, to make something happen sooner"
磯辺,"seashore, beach, food wrapped in nori"
遺族,"bereaved family, surviving family, family of the deceased"
依存,"dependence, reliance"
異存,objection
依存症,"dependence (on alcohol, drugs, etc.)"
板,"board, plank, sheet (of metal), plate (of glass), pane, slab, cutting board, chopping board, chef (esp. of high-end Japanese cuisine), cook, stage (i.e. at a theatre)"
遺体,"(dead) body, corpse, remains"
痛い,"painful, sore, cringy, embarrassing, exceeding"
痛々しい,"pitiful, pathetic, painful to look at"
板紙,"cardboard, paperboard, pasteboard"
委託,"entrusting (something to a person), consignment (of goods), putting in someones charge, trust, commission"
致し方,"way, method, means, resource, course"
致す,to do
悪戯,"mischief, prank, trick, practical joke, mischievous, naughty, pastime, hobby, playing with (e.g. a lighter), fooling around with, messing around with, amusing oneself with, tampering with, lewd behaviour, sexual misconduct, sexual assault, molestation, rape"
頂,"crown (of head), summit (of mountain), spire, easy win for one, something received"
頂きます,"thank you (for the meal just served), I receive (this meal)"
頂く,"to receive, to get, to accept, to take, to buy, to eat, to drink, to be crowned with, to wear (on ones head), to have (on top), to have (as ones leader), to live under (a ruler), to install (a president), to get someone to do something"
頂ける,"to be able to receive, to be able to take, to be able to accept, to be able to eat, to be able to drink, to be acceptable, to be satisfactory"
至って,"very much, exceedingly, extremely"
痛手,"serious wound, hard blow"
板の間,"wooden floor, room with a wooden floor, changing room (at a public bath)"
板張り,"boarding, wooden floor"
板前,"chef (esp. of high-end Japanese cuisine), cook, area of a kitchen that contains the chopping board"
痛ましい,"pitiful, heartbreaking, heartrending, touching, tragic, sad, hurtful"
痛み,"pain, ache, soreness, grief, distress, damage, injury, wear, bruise, break"
痛み分け,"match declared drawn due to injury, ending with both sides suffering damage (of a dispute, etc.)"
痛む,"to hurt, to ache, to feel a pain, to be injured, to be spoiled (e.g. food), to be damaged"
悼む,"to grieve over, to mourn, to lament"
痛める,"to hurt, to injure, to cause pain, to harm, to damage, to spoil, to worry, to bother, to be grieved over, to afflict, to cause financial loss, to hurt ones pocket"
炒める,"to fry, to saute, to stir-fry"
至り,"utmost limit, extremity, result"
至る,"to arrive at (e.g. a decision), to reach (a stage), to attain, to lead to (a place), to get to, in the extreme case of, to come, to arrive, to result in"
至る所,"everywhere, all over, throughout"
労る,"to pity, to sympathize with, to sympathise with, to treat with sympathy, to console, to be kind to, to appreciate, to tend to (e.g. an injury), to care for, to nurse, to soothe"
異端,heresy
板ガラス,"plate glass, sheet glass"
医大,medical school
偉大,"great, grand, magnificent, outstanding, mighty"
抱く,"to hold in ones arms (e.g. a baby), to embrace, to hug, to have (a thought or feeling), to hold, to harbour (suspicion, doubt, etc.), to harbor, to bear (a grudge, ill will, etc.), to entertain (hope, illusions, etc.), to cherish (e.g. an ambition)"
一,"one, 1, best, first, foremost, beginning, start, a (single), one (of many), ace, bottom string (on a shamisen, etc.)"
市,"market, fair"
位置,"place, position, location, position, standing, status, situation"
一案,"idea, plan"
一尉,"captain (JASDF, JGSDF), lieutenant (senior grade; JMSDF)"
一位,"first place, first rank, units position (of a number)"
一々,"one-by-one, separately, every single, each and every, without omission, fully, in detail"
一員,"one person, one member"
一因,"one cause, one reason, one factor"
一円,"one yen, throughout (an area), whole district"
一応,"more or less, though not quite satisfactorily, after a fashion, pretty much, roughly, so far as it goes, tentatively, for the time being, just in case, once"
一億,"100,000,000, one hundred million"
一概に,"unconditionally, as a rule"
１月,"January, first month of the lunar calendar"
一丸,"one lump, one body, one group"
一義,"one meaning, primary importance, primary significance, primary consideration, a reason, a truth"
一行,"(one) line, (one) row"
一隅,"corner, nook"
一群,"group, flock, crowd, herd, wide expanse (of flowers)"
一軍,"one army, whole army, first string players, the cool kids, the popular kids"
一芸,"an art, one talent"
一撃,"blow, hit, stroke"
一元,unitary
一元化,"unification, centralization, centralisation"
一語,one word
一期,"ones whole life, ones lifetime"
苺,"strawberry (esp. the garden strawberry, Fragaria x ananassa)"
一座,"the whole company, the party, all those present, everyone in attendance, attendance (at a gathering), presence, banquet, dinner, party, troupe, (theatrical) company, (one) statue, top seat, head (of the table)"
一字,"(one) letter, (one) character"
一事,one thing
一時,"one oclock, once, at one time, formerly, before, for a time, for a while, for the time being, for the present, for the moment, temporarily, a time, one time, once"
一時間,one hour
一時期,a period (of time)
一時金,"single amount (of money), one-off payment, lump sum, bonus"
一次産業,primary industry
一次産品,primary products
一時的,"temporary, transitory, short-lived"
一樹,"one tree, a tree"
一巡,"one round, one tour, one circuit, one patrol"
一女,"one daughter, eldest daughter, first-born daughter"
一助,"a help, an aid, some assistance"
一条,"one line, one streak, one stripe, one ray (of light), one wisp (of smoke), one item (in an itemized form), one clause, one passage (in a book), one matter (affair, event, case, incident)"
著しい,"striking, remarkable, considerable"
一陣,"gust of wind, vanguard"
一人物,"person to be reckoned with, person of importance, one person, one character, someone"
一途,"wholehearted, earnest, determined, intent, single-minded, straightforward, devoted to, doing nothing but"
一族,"family, relatives, dependents, household"
一存,"ones own discretion (idea, responsibility)"
１対１,"one-to-one, one-on-one"
一打,"stroke, blow"
一大,"one large ..., a great ..."
一代,"generation, lifetime, age"
一台,"one machine, one vehicle"
一代記,biography
一大事,"important matter, matter of great importance, serious affair, major incident, emergency"
一団,"body, group, party, gang, troupe, troop"
一段,"even more, still more, much more, further, one step, one rung, one level, one grade, one rank, one paragraph, one passage, ichidan (verb, verb conjugation)"
一段落,"reaching a stopping place, settling down (before the next stage), getting to a point where one can rest, completing the first stage (of the work), one paragraph"
位置付け,"placement, fixed position, mapping out, location"
位置付ける,"to place (in relation to the whole), to rank, to position, to locate"
一度,"once, one time, on one occasion, temporarily, for a moment, one degree, one tone, one musical interval"
一同,"all present, all concerned, all of us"
一堂,"one building (hall, temple, shrine, room), same room, same place, same building"
一時に,"at the same time, at a time, at one time, simultaneously"
一読,"perusal, one reading"
一度に,all at once
一男,"boy, eldest son"
一二,"the first and second, a few"
一日,"one day, all day (long), the whole day, from morning till night, 1st day of the month"
一日中,"all day long, all the day, throughout the day"
一任,"entrusting (everything to), leaving (a matter) entirely with"
一人称,first person
一人前,"one portion, one serving, one person, adult, grown-up, person who has come of age, fully fledged, established, qualified"
一念,"determined purpose, an incredibly short span of time (i.e. the time occupied by a single thought), a single repetition of a prayer (esp. in Jodo-shu)"
一年,"one year, some time ago"
一年間,(period of) one year
一年中,all year round
１年生,"first-year student, first-year pupil, beginner, novice, newcomer, person who has been in a role for less than a year, annual, annual plant"
一念発起,"being resolved to (do something), having a wholehearted intention"
いち早く,"promptly, quickly, without delay, before others, first"
市場,"(town) market, (street) market, marketplace"
一倍,"multiplying by one, original amount, (even) more, double, twice (as much), twofold"
一番,"number one, first, first place, best, most, game, round, bout, as a test, as an experiment, by way of experiment, by way of trial, tentatively, song (e.g. in noh), piece"
一番上,"highest, uppermost, topmost, oldest, eldest"
一番手,"first person (to do), person going first, first place, top position, person in the top position, person in the lead"
一番乗り,"first rider in a charge, first (person) to arrive"
一飛,first fly
一部,"one part, one portion, one section, some, one copy (e.g. of a document)"
一分,"one tenth, one hundredth, one percent, one tenth of a sun, one quarter ryō (an old coin)"
一部始終,"full particulars, the whole story, from beginning to end"
一部分,"one part, one portion, one section"
一望,"one sweep (of the eye), sweeping view, unbroken view"
一木,one tree
一枚,"one thin flat object, one sheet"
一枚岩,"monolith, large slab of rock"
一枚看板,"leading player, prima donna, box-office star, best item one has (to show), ones sole Sunday best, ones single area of expertise"
一抹,"(a) touch of, tinge of, wreath (e.g. of smoke), one stroke, one brush"
１万,"10,000, ten thousand"
一味,"clan, partisans, conspirators, gang, ring, crew, participation (e.g. in a plot), one flavour, one charm, one ingredient (in traditional Chinese medicine), universality (of the teachings of Buddha)"
一脈,"(a) vein, (a) thread (of connection)"
一命,"(a) life, (a) command"
一面,"one face, one surface, the whole surface, one aspect, one side, (on) the other hand, one broad, flat object, front page (e.g. newspaper)"
一目散に,"at full speed, as fast as ones legs can carry one"
一物,"plot, ulterior motive, secret intention, thing, article, penis"
一門,"family, clan, kin, sect, school, adherents, followers, disciples, group of related sumo stables"
一文,"tiny amount of money, a penny, a cent, a farthing, one letter, one character, one mon (unit of currency)"
一問,one question
一文字,"straight line, beeline"
一夜,"one night, all night, overnight, one evening"
一躍,"suddenly (rising to fame, etc.), instantly, immediately, overnight, one bound, one leap"
意中,"ones mind, ones heart, ones intention"
胃腸,"stomach and intestines, gastrointestinal tract, digestive organs"
医長,"medical director, chief physician"
一様,"uniform, equal, even, the same, identical, common, ordinary, usual"
一葉,"one leaf, one page, one sheet, one card, one photo, one boat"
一翼,"one wing, (a) role, (a) part"
一覧,"look, glance, sight, inspection, summary, list, table, catalog, catalogue"
一卵性双生児,identical twins
一覧表,"list, table, schedule, catalogue, catalog"
一理,"(a) principle, (a) reason, (a) point, some truth"
一律,"uniform, even, across-the-board, equal"
一里塚,milestone (1 ri apart)
一流,"first-class, first-rate, top-flight, top-ranking, leading, eminent, top, characteristic (of), peculiar (to), unique (to), school (e.g. of flower arrangement), one flag, one banner, one streamer"
一両,"one vehicle, one ryō (an old coin)"
一輪,"one flower, one wheel, full moon"
一塁,"first base, first baseman, one fort"
一塁手,first baseman
一例,"example, an instance"
一礼,"one bow, one salute, one greeting"
一列,"(a) row, line"
一連,"series, chain, sequence, two reams (i.e. 1000 sheets of paper), verse, stanza"
一路,"straight, directly, voyage, journey, straight road"
１浪,failing college entrance exams and retaking them a year later
１割,ten percent
一過,"passing (e.g. of a typhoon), going past"
一家,"a family, a household, a home, ones family, whole family, (ones own) style, school, gang, (yakuza) family"
一回,"once, one time, one round, one game, one bout, one heat, one inning"
一介,"mere, only a ..."
一階,"first floor, ground floor, one floor, one storey, one rank"
一回転,"one revolution, one rotation"
一角,"corner, section, point, part, one horn, narwhal (Monodon monoceros)"
一画,"one plot (of land), one block (i.e. one city block), one area, one lot, one brush stroke, one kanji stroke"
一攫千金,"getting rich quick, making a killing, making a fortune at a single stroke"
一ヶ月,one month
一家言,"private opinion, personal view, personal opinion"
一喝,"sharp, loud rebuke, bark, roar, rebuke used in Zen to achieve enlightenment"
一括,"lumping together, summing up, bundle, lump, batch"
一括払い,"lump-sum payment, paying the entire sum in one transaction"
一巻,"one roll, one book, one volume, first volume, rolling once, wrapping once around"
一貫,"consistency, coherence, integration, one kan (approx. 3.75 kg), one piece of sushi"
一環,"link (e.g. in a chain of events), part (of a plan, campaign, activities, etc.), monocyclic"
逸機,missing a chance
一気,"one breath, chug!, drink!"
一揆,"uprising (esp. in Japan since middle ages, e.g. peasant uprising), revolt, insurrection, putsch, riot"
一喜一憂,"alternating between happiness and anxiety, swinging between joy and sorrow, being glad and sad by turns, oscillating between optimism and pessimism"
一騎打ち,"personal combat, one-to-one fight"
一気に,"in one go, in one gulp, in one breath, without stopping, without pausing, without a rest, in one sitting, at a stretch, suddenly, all of a sudden, all at once"
一級,"one grade, first-class, primary"
一挙,"one effort, one action"
一興,"amusement, fun, brief entertainment"
一曲,"tune (melody, piece of music)"
一局,"one game (of go, shogi, etc.), one board (go, shogi, etc.), one office (of a broadcasting station, post office, etc.)"
一挙手一投足,"ones every action, every single move, slight effort, least trouble, small amount of work"
一挙に,"at a stroke, with a single swoop"
一句,"phrase (verse, line), one haiku-poem"
一件,"(one) matter, (one) item, (one) case"
一見,"look, glimpse, glance, apparently, seemingly, at first glance, on the face of it, first meeting"
一軒,one house
一軒家,"detached house, single house, single building, isolated house, house in isolated location"
一戸,"one house, household"
一顧,"slightest notice, slightest consideration, slightest attention, a little thought, glance"
一個,"piece, fragment, one (object)"
一向,"completely, absolutely, totally, (not) at all, (not) a bit, (not) in the least, earnestly, intently, determinedly, Jōdo Shinshū"
一校,"whole school, the first proof, one proofreading"
一考,"consideration, thought"
一行,"party, group, troop, company, one act, one action, one deed"
一向に,"completely, absolutely, totally, (not) at all, (not) a bit, (not) in the least, earnestly, intently, determinedly"
一国,"one country, whole country, hotheaded, stubborn"
一刻,"a minute, moment, an instant, stubborn, hot-headed"
一個人,"private person, individual"
一戸建て,"detached house, stand-alone house, single-family home"
一切,"all, everything, entirety, the whole, absolutely (not), (not) at all, (none) whatsoever, without exception"
一策,"idea, plan"
一昨,one previous
一冊,"one copy (of a book, magazine, etc.), one volume"
一酸化炭素,carbon monoxide
一子,"one child, only child, one of several children (esp. the son and heir), one stone"
一矢,"an arrow, a retort"
一式,"complete set, all, everything"
一室,one room
一種,"a kind, a sort, a variety, a species, of sorts, something of a, a sort of, sort of, somewhat"
一首,"one tanka, one poem"
一蹴,"flatly rejecting, curtly refusing, brushing aside, beating easily, defeating handily, one kick"
一周,"one round, one circuit, one revolution, one lap, one turn"
一週,one week
一週間,one week
一周忌,first anniversary of a persons death
一周年,one full year
一瞬,"instant, moment, for an instant"
一緒,"together, at the same time, same, identical"
一所,"one place, the same place, one person, together"
一書,"one letter, one book"
一笑,"laugh, smile"
一生,"whole life, a lifetime, all through life, one existence, a generation, an age, the whole world, the era, (the only, the greatest, etc.) of ones life"
一生懸命,"very hard, with utmost effort, as hard as one can, with all ones might, for dear life, eagerly, desperately"
一色,"one color, one colour, one article, monochrome, same tendency, everyone being caught up in the same thing"
一触即発,"critical (touch and go) situation, explosive situation"
一緒に,"together (with), at the same time, in a lump"
一審,"first instance, first trial"
一新,"complete change, reform, restoration, remodeling, remodelling, renewal"
一心,"one mind, wholeheartedness, ones whole heart"
一身,"oneself, ones body"
一進一退,"now advancing and now retreating, ebb and flow, seesawing, taking alternately favorable and unfavorable turns"
一身上,"personal (affairs, reasons, etc.)"
一心同体,"being one in body and soul, of one flesh, two hearts beating as one"
一心に,"wholeheartedly, single-mindedly, fervently, intently"
一心不乱,"wholeheartedly, with heart and soul, intently, with undivided attention, with intense concentration, single-mindedly"
一睡,"wink of sleep, snooze, doze, nap"
逸する,"to lose (a chance), to miss (a chance), to overlook, to omit, to forget, to deviate"
一寸,"one sun (approx. 3.03 cm), little bit (of time, distance, etc.)"
一声,"voice, cry, shout"
一世,"generation, lifetime, the age, the day, the first (e.g. Elizabeth I), issei, first-generation Japanese (or Korean, etc.)"
一斉,"simultaneous, all at once"
一斉に,"simultaneously, all at once, in unison"
一席,"sitting, feast, speech"
一石,one game (of go)
一石二鳥,killing two birds with one stone
一節,"one passage, one paragraph, one stanza, one verse, one section (of a piece of music), one syllable"
一説,"one theory, one opinion, another theory"
一線,line
1000,"1,000, one thousand"
一戦,"battle, game, bout"
いっそ,"rather, sooner, preferably"
一掃,"clean sweep, purging, doing away with, eradication"
一層,"even more, still more, all the more, more than ever, one layer, lowest floor (of a building), rather, sooner, preferably"
一足,a pair (of shoes or socks)
一足飛び,(at) one bound
いっその事,"rather, sooner, preferably"
一帯,"whole area, whole region, stretch (of land), tract, belt, zone"
一体,"(what) the heck, (why) in the world, (who) on earth, one object, one body, unity, one form, one style, one Buddhist image (or carving, etc.), generally, in general"
行ったり来たり,"going to and fro, back and forth"
一旦,"once, for a short time, briefly, temporarily, one morning"
一端,"one end, an end, part, fragment"
一致,"agreement, accord, correspondence, consistency, coincidence, union, unity, cooperation"
一着,"first place (in a race), first to arrive, one suit (of clothes), one item (of clothing), putting on (formal clothes), wearing, one move"
一丁,"one leaf (of a book bound in Japanese style), one block of tofu, one serving (in a restaurant), one long and narrow thing (e.g. a gun, scissors, spade, hoe, inkstick, palanquin, candle, jinrikisha, shamisen, oar), one chō (unit of distance, approx. 109.09 m), one game, one task, well then, right"
一朝一夕,"in a day, in a brief space of time"
一長一短,"(something having its) merits and demerits, advantages and disadvantages, good points and shortcomings"
一直線,straight line
一対,"pair, couple"
一通,"one copy (of a document), one letter, one-way traffic, pure straight, winning hand containing nine consecutive tiles of the same suit (i.e. 1-9)"
一手,"one move (in go, shogi, etc.), only way, only means, doing alone, doing single-handed, monopoly"
一定,"fixed, settled, constant, definite, uniform, regularized, regularised, defined, standardized, standardised, certain, prescribed"
一滴,one drop (of fluid)
行ってきます,"Im off, see you later"
一徹,"obstinate, stubborn, inflexible"
行ってらっしゃい,"have a good day, take care, see you"
一転,"one turn, spinning around, complete change, reversal, (an) about-face, sudden transformation"
一点,"speck, dot, point, only a little, particle, only one"
一点張り,"persistence, single-mindedness, sticking to one point, focusing on one thing, always making the same bet"
一等,"first class, first rank, first grade, first place, first prize, one degree, one level, one grade, most, best"
一刀,"sword, blade, single stroke"
一党,"one party, one faction, one clique"
一刀両断,"cutting in two with a single stroke, taking decisive action, dealing with decisively, cutting the (Gordian) knot"
一派,"school, sect, party"
一杯,"one cup (of), one glass (of), one bowl (of), cupful, glassful, bowlful, spoonful, one drink (of alcohol), full, filled (with), brimming (with), crowded, packed, fully, to capacity, to the maximum, as much as possible, a lot, much, many, all of ..., the entire ..., one (squid, octopus, crab, etc.), one (boat)"
一敗,one defeat
一泊,"(staying) one night, overnight stay, overnight rental, per-night rental"
一発,"one shot, one charge, one explosion, one blow, one punch, home run, one try, one attempt, win on the first go-around after calling rīchi"
一般,"general, universal, ordinary, average, common, non-celebrity, the same, no different, (just) as if"
一般人,"ordinary person, member of the general public, non-celebrity"
一般的,"general, popular, common, typical"
一般に,"generally, in general, widely, commonly, universally"
一匹,"one animal (small), two-tan bolt of cloth"
一筆,"one stroke (of a brush), a few lines (of writing), note, short letter, (dropping) a line, writing in one go (without stopping to apply more ink to the brush), parcel (of land), same handwriting"
一票,"one vote, one ballot"
一品,"item, article, dish, course, finest item"
逸品,"excellent article, fine item, rare beauty, masterpiece, gem"
一風,"oddity, eccentricity, peculiarity"
一服,"(a) dose, (a) puff, (a) smoke, lull, short rest"
一遍,"once, one time, exclusively, only, alone"
一変,"complete change, about-face"
一片,"a piece, a scrap, a fragment, a bit, iota, modicum, trace, scrap, the slightest bit (of)"
一辺倒,"complete devotion (to), total commitment (to), unvarying support (for), unwavering fixation (on), rigid preoccupation (with)"
一遍に,"(all) at once, at the same time, in one go, in one sitting, right away, in an instant"
一歩,"(a) step, one step, level, stage, step, small degree, small amount"
一報,"information, (brief) notice, letting someone know, dropping a line, first report, initial report"
一方,"one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party, on the one hand, on the other hand, whereas, although, but at the same time, meanwhile, in turn, just keeps, being inclined to ..., tending to be ..., tending to do ..., continuously ..., just keeps on ...ing, only"
一方通行,one-way traffic
一方的,"one-sided, unilateral, arbitrary"
一本,"one long cylindrical thing, one film, TV show, etc., one goal, home run, etc., one telephone call, one version, one book, a certain book, ippon, one point, a blow, geisha, single-minded focus on ..."
一本立ち,independence
一本釣り,fishing with a pole
何時,"when, at what time, how soon, normal times, ordinary days"
胃痛,"stomach-ache, stomach pain, gastralgia"
五重,"five-storied, quintuplicate, fivefold"
５日,"5th day of the month, five days"
いつ頃,"about when, about what time, how soon"
逸材,"outstanding talent, person of exceptional talent, gifted person"
逸脱,"deviation, departure, omission"
五つ,"five, five years of age, eight oclock (old time system)"
何時でも,"always, all the time, at all times, (at) any time, whenever (you like)"
一に,"solely, entirely, only, or"
何時に無く,"unusually, unwontedly, uncharacteristically"
いつの間にか,"before one knows, before one becomes aware of, unnoticed, unawares"
何時までも,"forever, eternally, for good, as long as one likes, indefinitely, endlessly, for a long time"
何時も,"always, all the time, at all times, never, usual, regular, habitual, customary"
いつも通り,"as always, as usual"
逸話,anecdote
偽り,"lie, falsehood, fiction, fabrication"
偽る,"to lie, to pretend, to feign, to falsify, to deceive, to trick"
井筒,"well curb, well kerb, family crest design based on a square wooden well curb"
移転,"moving, relocation, change of address, transfer (of deeds, property, etc.), demise"
遺伝,"heredity, (genetic) inheritance"
遺伝学,"genetics, study of heredity"
遺伝子,"gene, genetic"
遺伝子工学,genetic engineering
遺伝病,hereditary (genetic) disease
意図,"intention, aim, design"
糸,"thread, yarn, string"
糸口,"beginning, start, first step, clue, lead, hint, thread end"
従姉妹,cousin (female)
従兄弟,cousin (male)
愛しい,"lovely, dear, beloved, darling, dearest, pitiable, pitiful"
意図的,"intentional, on purpose"
営み,"activity, action, performance, execution, occupation, business, work, sexual intercourse, sex, preparations"
営む,"to run (a business), to operate, to conduct, to practice (law, medicine, etc.), to carry out, to perform, to lead (a life), to hold (a Buddhist or Shinto ceremony)"
射止める,"to shoot dead, to bring down (an animal), to win (a prize, someones heart, etc.), to make ones own"
緯度,latitude (nav.)
井戸,water well
異動,"(personnel) change, transfer, relocation, reassignment, reshuffle"
移動,"movement, transfer, migration, removal, travel, mobile, moving, traveling, travelling, roving"
移動性高気圧,migratory anticyclone
移動平均,moving average
居所,"whereabouts, address, place of temporary residence"
井戸端会議,"content-free chat, idle gossip"
井戸掘り,"well digging, well digger"
井戸水,well water
挑む,"to challenge to (a fight, game, etc.), to throw down the gauntlet, to contend for, to tackle (e.g. a problem), to attempt, to go after (a prize, record, etc.), to pressure (someone) for sex, to make advances to"
否,"no, nay, disagreement, objection, disapproval"
以内,"within, inside of, less than"
居直る,"to sit upright, to sit up straight, to take a defiant attitude, to become aggressive, to take the offensive"
田舎,"rural area, countryside, the sticks, hometown"
田舎者,"person from the countryside, countryman, countryfolk, provincial person, bumpkin, hick, hillbilly, redneck"
稲作,"rice cultivation, rice crop"
稲妻,"lightning, flash of lightning, lightning bolt"
稲田,"paddy field, rice field"
稲穂,ear (head) of rice
居並ぶ,"to sit in a row, to be arrayed"
稲荷,"Inari (god of harvests, Uka-no-Mitama), Inari shrine, Fushimi Inari shrine (in Kyoto), fox (said to be messengers of Inari), fried tofu (said to be a favourite food of foxes), inarizushi"
古,"antiquity, ancient times"
移入,"introduction (from outside), import, bringing in, shipping in (from another part of the country), transporting, putting in (e.g. ones feelings into a work)"
委任,"entrusting, charge, delegation, authorization"
委任状,"commission, proxy, power of attorney, authorization"
委任統治,mandate
戌,"the Dog (eleventh sign of the Chinese zodiac), hour of the Dog (around 8pm, 7-9pm, or 8-10pm), west-northwest, ninth month of the lunar calendar"
犬,"dog (Canis (lupus) familiaris), squealer, rat, snitch, informer, informant, spy, loser, asshole, counterfeit, inferior, useless, wasteful"
稲,rice plant (Oryza sativa)
稲刈り,"rice reaping, rice harvesting"
居眠り,"nodding off (while sitting), dozing"
居残り,"working overtime, detention, being kept in (e.g. after school)"
居残る,"to stay behind, to remain, to work overtime"
猪,"wild boar, wild pig"
命,"life, life force, lifetime, lifespan, most important thing, foundation, core, paired tattoos of the life kanji on the upper arms of a man and woman (indicating unwavering love), fate, destiny, karma"
命からがら,"for dear life, barely escaping alive"
命がけ,"putting ones life on the line, staking ones life (on), risking ones life, life and death situation"
命綱,"lifeline, safety rope, safety tether"
命取り,"fatal, deadly, mortal"
命拾い,narrow escape from death
祈り,"prayer, supplication"
祈る,"to pray, to say a prayer, to say grace, to wish, to hope"
違反,"violation, offense, offence, breach, transgression, infringement, contravention"
居場所,"whereabouts, place, location, place where one belongs, where one fits in, place where one can be oneself"
威張りくさる,"to throw ones weight around, to be puffed up"
威張る,"to put on airs, to act big, to throw ones weight about, to be overbearing, to be domineering, to be bossy, to be pushy, to be proud, to be haughty, to be arrogant, to swagger, to boast, to brag"
意表,"surprise, something unexpected"
遺品,"things left (to one) by the deceased, inherited item, estate, memento, keepsake, lost item, lost property"
鼾,"snoring, snore"
