Level	Label	Definition
17	"Le singe
un singe
singe"	Monkey
17	"Le chanteur
un chanteur
chanteur"	Singer
17	"Le caractère
un caractère
caractère"	"Nature, character"
17	Les animaux	(masculine plural of animal)
17	"L'animal
un animal
animal"	Animal
17	Domestique	Domestic (Adj)
17	Les animaux domestiques	Domestique animals
17	La baby-sitter	Babysitter
17	"Mauvais
mauvaise"	Bad (Adj)
17	Le rendez-vous	Date; rendezvous; appointment (R…)
17	En retard	Late (Adj) (En r...)
17	À l'avance	Early (Adj) (À l'a…)
17	La bonne excuse	Good excuse
17	L'excuse	Excuse
17	Excuser	"To excuse
excuse"
17	Selon	According to (Preposition)
17	"La viande
une viande
viande"	Meat
17	En été	In the summer
17	Épargner	"To save (money, time) (Ép...)
save money
to save up
save up"
17	Économiser	"To save (Money) (Éc...)
save
to save up
save up"
17	"L'économie
une économie
économie"	Economics; economy
17	Accumuler	"To accumulate
accumulate
to add up
add up"
17	Voyager en bus	To travel by bus (V…en b…)
17	"Le train
un train
train"	Train
17	Voyager en train	To travel by train
17	Voyager en voiture	To travel by car
17	Voyager à pied	To travel by foot
17	Voyager en avion	To travel by plane
17	Le permis de conduire	Driving license
17	"Le conducteur
un conducteur
conducteur"	Driver (C...)
17	Conduire	To drive (a vehicle) (Con…)
17	Le pèlerinage	Pilgrimage
17	Héberger	"To house, accommodate (Héb…)"
17	L'auberge	Hostel; (slang) prison (Aub…)
17	L'auberge de jeunesse	Youth hostel
17	La carte postale	Postcard
17	La carte de vœux	Greeting card
17	"Le degré
un degré
degré"	Degree
17	Hier	Yesterday (Adv)
17	Avant-hier	The day before yesterday (Adv)
17	Après-demain	The day after tomorrow (Adv)
17	"Le retour
un retour
retour"	Return
17	Retourner	"To return, go back
return
go back"
17	Embrasser	"To kiss; (dated) to hug, embrace (affectionately wrap one's arms around another) (Emb...)
kiss"
17	"L'ambassade
une ambassade
ambassade"	Embassy
17	"Le bisou
un bisou
bisou"	Kiss (friendly kiss)
17	Magnifique	Magnificent (Adj)
17	"Le collègue
un collègue
collègue"	Colleague (can be male or female)
17	Confortable	"Comfortable (Adj)
comfy"
17	Imaginer	"To imagine
imagine"
17	Se promener	To take a walk (Se prom…)
17	Faire une promenade	To take a walk (Faire une pr...)
17	Visiter	"To visit
visit"
17	Les adjectifs démonstratifs	Demonstrative pronouns
17	"La plage
une plage
plage"	Beach
17	"Le paysage
un paysage
paysage"	Countryside; landscape (P...)
17	"Le paysan
un paysan
paysan"	"Farmer, countryman; peasant"
17	"La lumière
une lumière
lumière"	Light
17	"Le ciel
un ciel
ciel"	Sky
18	"Le soleil
un soleil
soleil"	Sun
18	Célèbre	Famous (Adj) (C…)
18	"Le siècle
un siècle
siècle"	Century
18	"La fleur
une fleur
fleur"	Flower
18	"La fenêtre
fenêtre
une fenêtre"	Window
18	Riche	Rich (Adj)
18	La cantine	Canteen (small cafeteria or snack bar)
18	L'Écosse	Scotland
19	Rose	Pink (Adj)
19	Orange	Orange (Adj)
19	Rouge	Red (Adj)
19	"Blanc
blanche"	White (Adj)
19	"Gris
grise"	Grey (Adj)
19	"Noir
noire"	Black (Adj)
19	Brun	Brown (Adj) (B…)
19	Cramoisi	Crimson (Adj)
19	Jaune	Yellow (Adj)
19	"Vert
verte"	Green (Adj)
19	Cyan	Cyan (Adj)
19	Azur	Azure (blue) (Adj)
19	"Bleu
bleue"	Blue (Adj)
19	Violet	Violet (Adj)
19	Magenta	Magenta (Adj)
19	Pourpre	Burgundy (purple color) (Adj) (Pou…)
19	Doré	Golden (Adj)
20	Fais	(First-person singular present indicative of faire)
20	Fais	(Second-person singular present indicative of faire)
20	Fait	(Third-person singular present indicative of faire)
20	Faisons	(First-person plural present indicative of faire)
20	Faites	(Second-person plural present indicative of faire)
20	Font	(Third-person plural present indicative of faire)
21	En Tchéquie	Tchéquie
21	Aux Pays-Bas	Les Pays-Bas
21	En Albanie	Albanie
21	À Chypre	Chypre
21	En Autriche	Autriche
21	En France	France
21	En Allemagne	Allemagne
21	En Croatie	Croatie
21	Au Danemark	Danemark
21	En Belgique	Belgique
21	En Finlande	Finlande
21	En Grèce	Grèce
21	À Monaco	Monaco
21	En Hongrie	Hongrie
21	En Islande	Islande
21	En Irlande	Irlande
21	Au Portugal	Portugal
21	En Russie	Russie
21	En Italie	Italie
21	En Serbie	Serbie
21	En Espagne	Espagne
21	En Suède	Suède
21	En Suisse	Suisse
21	Au Royaume-Uni	Royaume-Uni
22	Gros	Fat (Adj)
22	Bas	Low (Adj)
22	"Long
longue"	"Long (Adj) (L...)
lengthy"
22	Intéressant	Interesting (Adj)
22	Chaud	Hot (Adj) (Ch…)
22	Simple	Simple (Adj)
22	Stupide	Stupid (Adj)
22	Gentil	"Helpful, kind (Adj) (G…)"
22	Fou	"Mad, crazy (Adj) (F…)"
22	Élancé	Slender (Adj) (É…)
22	Le fils	Son (F…)
22	Rond	Round (Adj)
22	Égal	Equal (Adj)
22	Agréable	"Pleasurable, nice, pleasant, agreeable (Adj)"
22	Mignon	"Cute (of a baby, an animal, etc.); cute (sexually attractive) (Adj)"
22	Végétarien	Vegetarian (Adj)
22	Nigérien	Nigerien (from or pertaining to Niger) (Adj)
22	Généreux	Generous (Adj)
22	Indécis	Undecided (Adj)
22	Précis	"Precise, exact (Adj)"
22	"Normal
normale"	Normal (Adj)
22	Bruyant	Noisy (Adj)
22	Sage	Wise (Adj)
22	Frais	Fresh; cool (Adj)
22	Sportif	Athletic (Adj) (S...)
22	Doux	Sweet (Adj)
22	Créatif	Creative (Adj)
22	Réel	Real (Adj)
22	Joyeux	"Joyful, happy (Adj)"
22	Athlétique	Athletic (Adj) (A…)
22	Mince	"Thin, skinny (Adj) (M…)"
22	Petit	Small (Adj)
22	Dynamique	Dynamique (Adj)
22	Timide	"Timid, shy (Adj) (T…)"
22	Cultivé	(usually of a person) cultured; cultivated (C…)
22	Aventurier	Adventurous (Adj)
22	Autoritaire	"Authoritative, bossy (Adj)"
22	Calme	Calm (Adj) (C…)
22	Élégant	Elegant (Adj)
22	Romantique	Romantic (Adj) (R…)
22	Optimiste	Optimistic (Adj)
22	Sympathique	"Nice, kind, friendly, likeable (Adj) (Sy…)"
22	Intelligent	Intelligent (Adj)
22	Sérieux	Serious (Adj)
22	Sincère	Sincere (Adj)
22	Sortir	"To exit, go out (S…)"
23	Grosse	Gros
23	Basse	Bas
23	Longue	Long
23	Intéressante	Intéressant
23	Chaude	Chaud
23	Simple	Simple
23	Stupide	Stupide
23	Gentille	Gentil
23	Folle	Fou
23	Élancée	Élancé
23	Ronde	Rond
23	Égale	Égal
23	Agréable	Agréable
23	Mignonne	Mignon
23	Végétarienne	Végétarien
23	Nigérienne	Nigérien
23	Généreuse	Généreux
23	Indécise	Indécis
23	Précise	Précis
23	Normale	Normal
23	Bruyante	Bruyant
23	Sage	Sage
23	Fraîche	Frais (The circumflex is not 100% necessary)
23	Sportive	Sportif
23	Douce	Doux
23	Créative	Créatif
23	Réelle	Réel
23	Joyeuse	Joyeux
23	Athlétique	Athlétique
23	Mince	Mince
23	Petite	Petit
23	Dynamique	Dynamique
23	Timide	Timide
23	Cultivée	Cultivé
23	Aventurière	Aventurier
23	Autoritaire	Autoritaire
23	Calme	Calme
23	Élégante	Élégant
23	Romantique	Romantique
23	Optimiste	Optimiste
23	Sympathique	Sympathique
23	Intelligente	Intelligent
23	Sincère	Sincère
23	Sérieuse	Sérieux
23	Grecque	Grec
23	Turque	Turc
24	C'est un bon début.	It's a good start.
24	Je m'interesse à…	I am interested in…
24	Être bien dans son corps et dans sa tête.	To feel good physically and mentally.
24	J'ai horreur de la routine.	I detest routine.
24	J'ai horreur de…	I detest…
24	Je suis à la recherche de…	I am looking for…
25	Rondes	Ronde
25	Ronds	Rond
25	Précis	Précis
25	Précises	Précise
25	Généreux	Généreux
25	Généreuses	Généreuse
25	Égaux	Égal
25	Normaux	Normal
26	Boulangère	Boulanger
26	Journaliste	Journaliste
26	Serveuse	Serveur
26	Rêveuse	Rêveur
26	Calculatrice	Calculateur
26	Actrice	Acteur
26	Opticienne	Opticien
27	Y avoir	(Infinitive of il y a)
27	Accueillir	"To welcome, to accommodate"
27	Animer	To animate (A…)
27	Conduire	To drive (a vehicle) (Con…)
27	Moi-même	(emphatic) myself (Pronoun) (Moi-m…)
27	Achever	"To finish, to complete; To finish off (someone who is already incapacitated); (reflexive, s'achever) to finish (Ach…)"
27	Séjourner	"(intransitive) to stay, to sojourn (Sé…)"
27	Sortir	"To exit, go out (S…)"
27	Juger	To judge (J…)
27	Le sculpteur	(art) sculptor (Sc…)
27	L'élève	"Schoolboy, schoolgirl, schoolchild"
27	"La lutte
une lutte
lutte"	"Fight, struggle"
27	L'asile	"Retirement home, old people's home; asylum"
27	Mourir	To die
27	Tragique	Tragic (Adj) (Tr...)
27	Cependant	"Meanwhile (Adv); however, nevertheless, yet, notwithstanding (Conjunction) (Cep...)"
28	Appris	Apprendre
28	Né	Naître
28	Offert	Offrir
28	Assis	Asseoir
28	Eu	Avoir
28	Ouvert	Ouvrir
28	Voulu	Vouloir
28	Vu	Voir
28	Mort	Mourir
28	Mis	Mettre
28	Bu	Boire
28	Paru	Paraître
28	Couru	Courir
28	Pris	Prendre
28	Pu	Pouvoir
28	Compris	Comprendre
28	Conduit	Conduire
28	Connu	Connaître
28	Permis	Permettre
28	Vécu	Vivre
28	Venu	Venir
28	Plu	Plaire
28	Plu	Pleuvoir
28	Construit	Construire
28	Lu	Lire
28	Fallu	Falloir
28	Fait	Faire
28	Été	Être
28	Valu	Valoir
28	Tenu	Tenir
28	Promis	Promettre
28	Reçu	Recevoir
28	Écrit	Écrire
28	Dit	Dire
28	Dû	Devoir
28	Revenu	Revenir
28	Ri	Rire
28	Couvert	Couvrir
28	Devenu	Devenir
28	Convenu	Convenir
28	Su	Savoir
28	Suivi	Suivre
28	Cru	Croire
28	Craint	Craindre
28	Tu	Taire
28	Acquis	Acquérir
28	Déçu	Décevoir
28	Découvert	Découvrir
28	Instruit	Instruire
28	Joint	Joindre
28	Peint	Peindre
28	Produit	Produire
28	Souffert	Souffrir
28	Abstenu	Abstenir
28	Réduit	Réduire
28	Atteint	Atteindre
28	Obtenu	Obtenir
29	L'apostrophe	Apostrophe
29	L'astérisque	Asterisk
29	L'égal	Equals sign
29	Le pourcent	Percent sign
29	L'arobase	The @ symbol
29	Le point	Period
29	Le guillemet	Quotation mark
29	La barre oblique	Forward slash
29	Le point d'interrogation	Question mark (Le p... d'i...)
29	Le plus	Plus symbol
29	Le moins	Minus sign
29	Le deux points	Colon
29	Le point virgule	Semi-colon
29	Les parenthèses	Parentheses
29	Le point d'exclamation	Exclamation point
29	Le soulignement	Underlining
29	La virgule	Comma
30	S'il vous plaît	Please (formal)
30	S'il te plaît	Please (informal)
30	"Le monsieur
le monsieur
un monsieur"	"Sir, mister, Mr"
30	Les messieurs	(Plural of le monsieur)
30	La madame	"Mrs, Madam
Mrs."
30	Les mesdames	(Plural of madame)
30	"La mademoiselle
une mademoiselle
la mademoiselle"	"Miss, young lady
young woman"
30	Les mesdemoiselles	(Plural of mademoiselle)
30	"Lundi
le lundi
un lundi"	Monday
30	Le Lundi	On Mondays
30	"Mardi
le mardi
un mardi"	Tuesday
30	"Mercredi
le mercredi
un mercredi"	Wednesday
30	"Jeudi
un jeudi
le jeudi"	Thursday
30	"Vendredi
le vendredi
un vendredi"	Friday
30	"Samedi
le samedi
un samedi"	Saturday
30	"Dimanche
un dimanche
le dimanche"	Sunday
30	Ce soir	Tonight (Ce s…)
30	Aujourd'hui	Today
30	Demain	Tomorrow (Adv)
30	Après-demain	The day after tomorrow (Adv)
30	Hier	Yesterday (Adv)
30	Avant-hier	The day before yesterday (Adv)
30	"Décembre
un décembre"	December
30	"Août
un août"	August
30	"Juillet
un juillet"	July
30	"Juin
un juin"	June
30	"Mai
un mai"	May
30	"Avril
un avril"	April
30	"Mars
un mars"	March
30	"Février
un février"	February
30	"Janvier
un janvier"	January
30	"Septembre
un septembre"	September
30	"Octobre
un octobre"	October
30	"Novembre
un novembre"	November
30	"La saison
une saison
saison"	Season
30	"Le printemps
un printemps
printemps"	Spring (the season)
30	"L'été
un été
été"	Summer
30	"L'automne
un automne
automne"	"Autumn, fall"
30	"L'hiver
hiver
un hiver"	Winter
31	"Le midi
midi"	"Midday, noon
lunch time"
31	Le minuit	Midnight
31	"Le soleil
un soleil
soleil"	Sun
31	Le lever du soleil	Sunrise
31	Le coucher du soleil	Sunset
31	"La lune
une lune
lune"	Moon
31	"Le cheval
un cheval
cheval"	Horse
31	"Le chien
un chien
chien"	Dog
31	"Le livre
un livre
livre"	Book
31	"Le bruit
un bruit
bruit"	Noise
31	La colombe	Dove
31	"La chemise
une chemise
chemise"	Shirt
31	"La maison
une maison
maison"	House
31	"La liberté
une liberté
liberté"	"Liberty, freedom"
31	La fille	Girl; daughter
31	Le fils	Son (F…)
31	"L'enfant
un enfant
enfant"	Child
31	Les filles	Daughters (plural of la fille)
31	Les fils	Sons (plural of le fils)
31	"Le cours
un cours
cours"	Course
31	Les cours	(Plural of le cours)
31	L'élève	"Schoolchild, pupil, student (É...) (Masc or fem)"
31	L'heure	Hour (Fem)
31	"Le héros
un héros
héros"	Hero (example of aspirated h)
31	La personne	(Grammar) Person; (other contexts) person
31	L'homme	Man
31	"La femme
femme
une femme"	Woman; wife
31	"Le garçon
garçon
un garçon"	"Boy; waiter
boy"
31	"La fillette
une fillette
fillette"	Little girl
31	"Le copain
un copain
copain"	"Buddy, pal
mate
chum"
31	La copine	Female friend (Cop…)
31	"La pomme
une pomme
pomme"	Apple
31	"La poire
une poire
poire"	Pear
31	Le chaton	"Kitten, kitty (baby cat) (Ch...)"
31	Le minou	"(colloquial, infantile) kitty; (slang) pussy (Min…)"
31	Voici	"Here is, this is, here come (Adv)"
31	Voilà	"There is, there's (Adv)"
31	"L'Australie
Australie"	Australia
31	Australien	Australian (Adj) (Masc)
31	Australienne	Australian (Adj) (Fem)
31	Intéressant	Interesting (Adj)
31	"Lent
lente"	Slow (Adj)
31	Lentement	Slowly (Adv)
31	Rapide	"Fast (Adj)
rapid"
31	Rapidement	"Quickly, rapidly, fast (Adv)"
31	Amusant	"Amusing, funny; fun (Adj)"
31	"Le camion
un camion
camion"	"Truck
lorry"
31	"La voiture
une voiture
voiture"	Car
31	"Moyen
moyenne"	Average (Adj)
31	Gros	Fat (Adj)
31	"Grand
grande"	"Tall, high, big (Adj)"
31	"Haut
haute"	High (Adj)
31	"Blond
blonde"	Blond (Adj)
32	Sympa	Nice (slang) (Adj)
32	Sympathique	"Nice, kind, friendly, likeable (Adj) (Sy…)"
32	Amusant	"Amusing, funny; fun (Adj)"
32	Intelligent	Intelligent (Adj)
32	Intéressant	Interesting (Adj)
32	Patient	Patient (Adj)
32	Sociable	Sociable (Adj)
32	Timide	"Timid, shy (Adj) (T…)"
32	Dynamique	Dynamique (Adj)
32	Gentil	"Helpful, kind (Adj) (G…)"
32	"Strict
stricte"	Strict (Adj)
32	"Fort
forte"	Strong (Adj)
32	Faible	"Weak, frail (Adj)
feeble"
32	Facile	Easy (Adj)
32	Difficile	Difficult (Adj)
32	Similaire	Similar (Adj) (Si...)
32	"Différent
différente"	Different (Adj)
32	"Divers
diverses"	Diverse (Adj)
32	Sonore	"Resounding, loud (Adj)
ringing
sonorous"
32	Tranquille	"Quiet, tranquil (Adj)"
32	"Impoli
impolie"	Rude (Adj) (Im...)
32	"Malpoli
malpolie"	"Rude, impolite (Adj) (Malp...)"
32	Poli	Polite (Adj)
32	Stupide	Stupid (Adj)
32	Diligent	Diligent (Adj) (D…)
32	"Dur
dure"	Hard (Adj)
32	Doux	Sweet (Adj)
32	"Léger
légère"	Light (Adj)
32	"Lourd
lourde"	Heavy (Adj)
32	"Chiant
chiants
chiantes
chiante"	Annoying (slang) (Ch...)
32	"Ennuyeux
ennuyeuse"	"Boring, dull (Adj)"
32	"Heureux
heureuse"	Happy (Adj)
32	"Content
contente"	"Glad, happy (Adj)"
32	Triste	Sad
32	Fâché	Angry (Adj) (Fâ…)
32	Ravi	"Thrilled, overjoyed, delighted, ravished, chuffed (Adj)"
32	Drôle	Funny (Adj)
32	Étrange	Strange (Adj)
32	"Anormal
anormale"	Abnormal (Adj)
32	"Curieux
curieuse"	Curious (Adj)
32	Fermé	"Shut, closed (Adj)"
32	Pauvre	Poor (Adj)
32	Riche	Rich (Adj)
32	"Sec
sèche"	Dry (Adj)
32	Vide	Empty (Adj)
32	Bon marché	"Cheap, inexpensive (Adj) (Bon ma…)"
32	Lourd	Heavy (Adj)
32	Mou	"Soft, pliable (Adj)"
32	Foncé	(of a colour) dark (having a dark shade) (Adj)
32	"Léger
légère"	Light (Adj) (Lég...)
32	"Mouillé
mouillée"	Wet (Adj)
32	Ouvert	Open (Adj)
32	Fou	"Mad, crazy (Adj) (F…)"
33	"La famille
une famille
famille"	Family
33	La famille de langues	Language family
33	"La mère
une mère
mère"	Mother
33	"Le père
un père
père"	"Father, dad"
33	"La femme
femme
une femme"	Woman; wife
33	"Le mari
un mari
mari"	Husband
33	"La sœur
une soeur
soeur"	Sister
33	"Le frère
un frère
frère"	Brother
33	"L'enfant
un enfant
enfant"	Child
33	La fille	Girl; daughter
33	Le fils	Son (F…)
33	Les fils	Sons (plural of le fils)
33	La famille éloignée	Extended family
33	Les grand-parents	Grandparents
33	Le grand-père	Grandfather
33	La grand-mère	Grandmother
33	Les petits-enfants	Grandchildren
33	La petite-fille	Granddaughter
33	Le petit-fils	Grandson
33	La petite amie	Girlfriend
33	"Le petit ami
un petit ami
petit ami"	Boyfriend
33	"L'oncle
un oncle
oncle"	Uncle
33	"La tante
une tante
tante"	Aunt
33	Le tonton	(Childish) Uncle
33	La tati	(Childish) Aunt
33	"Le neveu
un neveu
neveu"	Nephew
33	"La nièce
une nièce
nièce"	Niece
33	Le cousin	Cousin (male)
33	La cousine	Cousin (female)
33	La belle-mère	Stepmother
33	Le beau-père	Stepfather
33	La demi-sœur	Half-sister
33	Le demi-frère	Half-brother
34	Écouter	(intransitive) to listen; (transitive) to listen to
34	Habiter	"To live in
live in"
34	S'amuser	"To enjoy oneself
enjoy oneself
to have fun
have fun"
34	Travailler	"To work
work"
34	Jouer	"To play
play"
34	Finir	"To finish (F...)
finish"
34	Attendre	"To expect (Att...)
expect
to wait
wait"
34	Assister	"To assist; (intransitive, followed by à) to attend, to be present
assist"
34	Détester	"To hate
hate
to detest
detest"
34	Rentrer	"To go back to, to return (Ren...)
go back to
return"
34	Retourner	"To return, go back
return
go back"
34	Tourner	"To turn, to go around
turn
go around"
34	Aimer	"To like
like
love
to love"
34	Courir	"To run
run"
34	Couvrir	"To cover
cover"
34	Fermer	"To close
close"
34	Ouvrir	"To open
open"
34	Lire	"To read
read"
34	Dire	"To say
say"
34	Deviner	"To guess; to work out, figure out; to sense, perceive (Dev…)"
34	Devoir	"To have to (D...)
have to"
34	Devenir	"To become
become"
34	Manger	"To eat
eat"
34	Boire	"To drink
drink"
34	Conduire	To drive (a vehicle) (Con…)
34	Remplacer	"To replace
replace"
34	Accueillir	"To welcome, to accommodate"
34	Accomplir	"To fulfill, to accomplish
accomplish
fulfill
to fulfil
fulfil"
34	Accompagner	"To accompany
accompany"
34	Prendre	To take; to eat / drink (P…)
34	"Le bibliothécaire
La bibliothécaire"	Librarian (can be male or female)
34	"La bibliothèque
une bibliothèque
bibliothèque"	Library
34	"Le parc
un parc
parc"	Park
34	La piscine	Pool
34	"La plage
une plage
plage"	Beach
34	"Le restaurant
un restaurant
restaurant"	Restaurant
34	La salle	The hall; room (in a house) (S...)
34	La salle de classe	The classroom
34	"La salle de séjour
une salle de séjour
salle de séjour"	"Living room, family room"
34	"La salle de bain
une salle de bain
salle de bain"	Bathroom
34	La salle de concert	Concert hall
34	"Le stade
un stade
stade"	Stadium
34	"Le théâtre
un théâtre
théâtre"	"Theatre (venue for performing plays and drama)
theater"
34	"La librairie
une librairie
librairie"	Bookstore
35	Jouer au baseball	To play baseball
35	Jouer au basket	To play basketball
35	Jouer au football	To play soccer
35	Jouer au football américain	To play American football
35	Jouer au golf	To play golf
35	Jouer au tennis	To play tennis
35	Jouer au volley	To play volleyball
35	Jouer aux cartes	To play cards
35	Jouer aux dames	To play checkers
35	Jouer aux échecs	To play chess
35	Jouer du piano	To play piano
35	Jouer de la guitare	To play guitar
35	Jouer du violon	To play violin
35	Jouer de la batterie	To play drums
35	Jouer de l'harmonica	To play the harmonica
35	Jouer de la trompette	To play the trumpet
35	Jouer du violoncelle	To play the cello
35	Jouer au poker	To play poker
35	Jouer à la canasta	To play canasta
36	"La maison
une maison
maison"	House
36	La maisonnette	Small house (Mai…)
36	Le pavillon	"Detached house, individual house"
36	"L'immeuble
un immeuble
immeuble"	"Building, block of flats, apartment building
apartment block"
36	"L'appartement
un appartement
appartement"	"Flat, apartment"
36	"Le studio
un studio
studio"	Studio (apartment)
36	H.L.M.	Low income housing (Habitations à Loyer Modéré)
36	"Le quartier
un quartier
quartier"	"Quarter, district, neighborhood (Q...)
quarter"
36	"La banlieue
une banlieue
banlieue"	"Suburbs, inner city
projects
council estate"
36	La pièce	Room; piece; (money) coin (P...)
36	La chambre	"The bedroom, any room (C...)"
36	"La cave
une cave
cave"	"Cellar, basement"
36	Le grenier	Attic
36	La cuisine	Kitchen; cuisine
36	La salle à manger	Dining room
36	"La salle de séjour
une salle de séjour
salle de séjour"	"Living room, family room"
36	La chambre à coucher	Bedroom (specifically) (Cha…à cou…)
36	"Le garage
un garage
garage"	Garage
36	"Les toilettes
toilettes
des toilettes"	"Restroom, WC (no singular)
water closet
washroom
loo
toilet
water-closet
toilet room"
36	"Le bureau
un bureau
bureau"	Desk; office
36	"La rue
une rue
rue"	Street
36	"La vue
une vue
vue"	View
36	"La belle vue
Belle vue"	Good view (Bel…vu…)
36	"L'étage
un étage
étage"	"Floor, level, story"
36	Le rez-de-chaussée	"Lobby, ground floor"
36	Le premier étage	The second floor (in American lingo)
36	Le deuxième étage	The third floor (in American lingo)
36	Le troisième étage	The fourth floor (in American lingo)
36	Le centre-ville	City center
36	"La ville
une ville
ville"	City
36	"Le village
un village
village"	Village (Vi...)
36	La bourgade	Village (Bour…)
36	"Le plafond
un plafon
plafond"	Ceiling
36	"Le sol
un sol
sol"	"Floor, ground"
36	"La fenêtre
fenêtre
une fenêtre"	Window
36	"Le mur
mur
un mur"	Wall
36	"Le toit
un toit
toit"	Roof (T...)
36	Les escaliers	The stairs (Es…)
36	L'escalier	Step; staircase (Es…)
36	L'ascenseur	"Elevator, lift (A…)"
36	Prendre l'ascenseur	To take the elevator
36	Monter à pied	To go up by foot (take the stairs)
36	Monter en ascenseur	To go up by elevator
36	"La porte
une porte
porte"	Door
36	L'entrée	Entryway
36	La terrasse	Patio
36	Le balcon	Balcony (B...)
36	"Le jardin
un jardin
jardin"	Garden
36	"La fleur
une fleur
fleur"	Flower
36	L'arbre	Tree
36	La cour	Courtyard
36	"Le voisin
un voisin
voisin"	"Neighbor (male)
neighbor"
36	La voisine	Neighbor (female)
36	"Le rideau
un rideau
rideau"	Curtain
36	"La chaise
une chaise
chaise"	Chair
36	"La table
une table
table"	Table
36	L'armoire	Cupboard
36	"Le lit
un lit
lit"	Bed
36	"Le tapis
un tapis
tapis"	"Carpet, rug"
36	"Le fauteuil
un fauteuil
fauteuil"	Armchair
36	Arriver à la maison	To arrive home
36	Rentrer à la maison	To return home (Ren...)
36	Quitter la maison	To leave home
36	Habiter en ville	To live in the city
36	Habiter en banlieue	To live in a suburb
37	Défaire	"To undo; demolish
undo"
37	Malfaire	(archaic) do wrong (Malf…)
37	Refaire	"To redo, remake (Ref…)"
37	Détruire	"To destroy
destroy"
37	Détruit	Destroyed (Adj)
37	"Dangereux
dangereuse"	Dangerous
37	Sauf	Safe (from harm) (Adj)
37	"Sûr
sûre"	Sure (Adj)
37	"La destruction
une destruction
destruction"	Destruction
37	La guerre civile	Civil War
37	"La guerre
guerre
une guerre"	War
37	"Le musulman
musulmane"	Muslim
37	"Le chrétien
chrétienne"	Christian
37	Croire	"To believe
believe"
37	"Le croyant
un croyant
croyant"	Believer
37	Faire attention	To pay attention
37	Faire une promenade	To take a walk (Faire une pr...)
37	Faire confiance	"To trust
trust"
37	Faire la queue	To wait in line
37	Faire connaissance	To get acquainted
37	S'en faire	To worry
37	Faire la morale	To scold
37	Faire la cuisine	To do the cooking (like a chore)
37	Faire le lit	To make the bed (like a chore)
37	Faire le ménage	To do the housework
37	Faire les courses	"To do the shopping, errands"
37	Faire le repassage	To do the ironing
37	"L'ordinateur
un ordinateur
ordinateur"	Computer
37	Téléphonique	"Telephone, phone (of or pertaining to) (Adj)"
37	"L'avocat
un avocat
avocat"	"Lawyer
sollicitor
barrister
attorney"
37	"Le médecin
un médecin
médecin"	"Doctor, GP
general practitioner
family doctor"
37	"Le soldat
un soldat
soldat"	Soldier
37	"La légion
une légion
légion"	Legion
37	"Les devoirs
devoirs
des devoirs"	"Homework
schoolwork"
37	Devoir	"To have to (D...)
have to"
37	Vendre	"To sell
sell"
37	Acheter	"To buy
buy
to purchase
purchase"
37	Racheter	"To buy out, buy off; (reflexive) to make amends
buy back"
37	Appeler	"To call
call"
37	Préférer	"To prefer
prefer"
37	"La préférence
une préférence
préférence"	Preference
37	Préférable	Preferable
37	Lever	"To raise (L...)
raise"
37	Mener	"To drive, to take (M...)
drive
take"
37	Changer	"To change
change"
37	Échanger	"To exchange
exchange"
37	Belge	Belgian (Adj)
37	Suivre	"To follow (S...)
follow"
37	"Le livre
un livre
livre"	Book
38	"Le soleil
un soleil
soleil"	Sun
38	"Le ciel
un ciel
ciel"	Sky
38	Dégagé	"Clear (of the sky, weather) (Adj)"
38	Chaud	Hot (Adj) (Ch…)
38	"Froid
froide"	Cold
38	Briller	"To shine (of the sun)
shine"
38	"Le brouillard
un brouillard
brouillard"	Fog
38	La bruine	Drizzle (Br…)
38	"La pluie
pluie"	Rain
38	La goutte	"Droplet, drop"
38	La goutte de pluie	Raindrop
38	"Le nuage
un nuage
nuage"	Cloud
38	Nuageux	Cloudy (Adj)
38	Couvert	Covered; (of weather) overcast (Adj)
38	"Le vent
vent
un vent"	Wind
38	Souffler	To blow (of wind)
38	"La neige
une neige
neige"	Snow
38	Neiger	(impersonal) To snow
38	La grêle	Hail
38	Pleuvoir	"To rain
rain"
38	Pluvieux	Rainy (Adj)
38	Le temps	Time; weather
38	Le tonnerre	Thunder
38	Agité	Stormy (Adj) (A...)
38	"La tempête
une tempête
tempête"	"Storm, tempest (T...)
tempest"
38	L'éclair	Flash (of lightning)
38	"La foudre
une foudre
foudre"	Lightning
38	"L'orage
un orage
orage"	"Storm, thunderstorm"
38	Orageux	Stormy (Adj) (O...)
39	"L'école
une école
école"	School
39	Leur	Their (possessive pronoun)
39	"L'aéroport
un aéroport
aéroport"	Airport
39	"Le billet
un billet
billet"	"Ticket (for train, plane)"
39	Le ticket	"Ticket (for bus, metro)"
39	"La poste
poste
une poste"	"Post office
post-office"
39	"La station
une station
station"	Station
39	"La gare
une gare
gare"	Train station
39	La station de bus	Bus station
39	"Le métro
métro
un métro"	"Tube, underground
subway"
39	Les bagages	Baggage
39	La valise	Suitcase
39	"L'auto
une auto
auto"	Car (feminine) (Au...)
39	"L'avion
un avion
avion"	"Plane, aircraft (masc)"
39	"L'autobus
un autobus
autobus"	Bus
39	"Le bateau
un bateau
bateau"	Boat
39	"Le train
un train
train"	Train
39	"Le taxi
un taxi
taxi"	Taxi
39	"La voiture
une voiture
voiture"	Car
39	La chambre	"The bedroom, any room (C...)"
39	La chambre de libre	A free (available) room (at a hotel)
39	Mettre	"To put (M...)
put"
