charcter,definition,pinyin
灰,"ashes; dust; lime, mortar",huī
捕,"arrest, catch, seize",bǔ
徐,"slowly, quietly, calmly; composed, dignified",xú
珍,"precious, valuable, rare",zhēn
幕,"curtain, screen, tent",mù
映,project; reflect light,yìng
裂,"split, crack, break open; rend",liè
泰,"great, exalted, superior; big",tài
隔,"separate, partition",gé
启,"open; begin, commence; explain",qǐ
尖,"sharp, pointed, acute, keen",jiān
忠,"loyalty, devotion, fidelity",zhōng
累,"tired; implicate, involve; bother",lèi
炎,"flame, blaze; hot",yán
暂,temporary,zàn
估,"merchant; estimate, guess, presume",gū
泛,"to drift, float; careless, reckless",fàn
荒,"wasteland, desert; uncultivated",huāng
偿,"repay, recompense; restitution",cháng
横,across,héng
拒,"ward off with hand, defend",jù
瑞,felicitous omen; auspicious,ruì
忆,"remember, reflect upon; memory",yì
孤,"orphan, fatherless; solitary",gū
鼻,nose; first; KangXi radical 209,bí
闹,quarrel; dispute hotly,nào
羊,"sheep, goat; KangXi radical 123",yáng
呆,"dull; dull-minded, simple, stupid",dāi
厉,"whetstone; grind, sharpen; whet",lì
衡,"measure, weigh, judge, consider",héng
胞,"womb, placenta, fetal membrane",bāo
零,"zero; fragment, fraction",líng
穷,"poor, destitute, impoverished",qióng
舍,"house, dwelling; dwell, reside",shě
码,"number, numerals; yard; symbol",mǎ
赫,"bright, radiant, glowing",hè
婆,old woman; grandmother,pó
魂,"soul, spirit",hún
灾,"calamity, disaster, catastrophe",zāi
洪,"vast, immense; flood, deluge",hóng
腿,"legs, thighs",tuǐ
胆,"gall bladder; bravery, courage",dǎn
津,ferry; saliva; ford,jīn
俗,"social customs; vulgar, unrefined",sú
辩,"dispute, argue, debate, discuss",biàn
胸,"breast, bosom, chest; thorax",xiōng
晓,"dawn, daybreak; clear, explicit",xiǎo
劲,"strong, unyielding, tough, power",jìn
贫,"poor, impoverished, needy",pín
仁,"humaneness, benevolence, kindness",rén
偶,"accidentally, coincidently; an idol",ǒu
辑,"gather up, collect; edit, compile",jí
邦,"nation, country, state",bāng
恢,"restore; big, great, immense, vast",huī
赖,"rely, depend on; accuse falsely",lài
圈,to circle; a circle; corral,quān
摸,gently touch with hand; caress,mō
仰,"raise the head to look; look up to, rely on, admire",yǎng
润,"soft, moist; sleek; freshen",rùn
堆,"heap, pile, crowd; pile up",duī
碰,"collide, bump into",pèng
艇,"small boat, dugout, punt",tǐng
稍,"little, slightly; rather",shāo
迟,"late, tardy; slow; delay",chí
辆,numerary adjunct for vehicles,liàng
废,"abrogate, terminate, discard",fèi
净,"clean, pure; cleanse",jìng
凶,"culprit; murder; bad, sad",xiōng
署,public office,shǔ
壁,partition wall; walls of a house,bì
御,"drive, ride; chariot; manage",yù
奉,offer; receive; serve; respect,fèng
旋,"revolve, move in orbit; return",xuán
冬,"winter, 11th lunar month",dōng
矿,"mine; mineral, ore",kuàng
抬,"lift, carry",tái
蛋,eggs; term of abuse,dàn
晨,"early morning, daybreak",chén
伏,"crouch, crawl, lie hidden, conceal",fú
吹,"blow; puff; brag, boast",chuī
鸡,chicken,jī
倍,"times, fold, multiple times",bèi
糊,"paste, stick on with paste",hú
秦,,qín
盾,"shield, shield-shaped object; currency sign for Dutch guilder",dùn
杯,"cup, glass",bēi
租,"rent, lease; rental; tax",zū
骑,ride horseback; mount; cavalry,qí
乏,lack; poor,fá
隆,"prosperous, plentiful, abundant",lóng
诊,"examine patient, diagnose",zhěn
奴,"slave, servant",nú
摄,"take in, absorb; act as deputy",shè
丧,mourning; mourn; funeral,sàng
污,"filthy, dirty, impure, polluted",wū
渡,"cross, ferry over; ferry",dù
旗,"banner, flag, streamer",qí
甘,"sweetness; sweet, tasty",gān
耐,"endure, bear; resist; patient",nài
凭,"lean on, depend on, rely on",píng
扎,pull up; pierce; struggle free,zhā
抢,"plunder, rob, take by force",qiǎng
绪,"end of thread; thread, clue",xù
粗,"rough, thick, course; rude",cū
肩,shoulders; to shoulder; bear,jiān
梁,bridge; beam; rafters; surname,liáng
幻,"illusion, fantasy, mirage",huàn
菲,"fragrant, luxuriant; the Philippines",fēi
皆,"all, every, everybody",jiē
碎,"break, smash; broken, busted",suì
宙,time as concept; infinite time,zhòu
叔,,shū
岩,cliff; rocks; mountain,yán
荡,"pond, pool; wash away, cleanse",dàng
综,arrange threads for weaving,zōng
爬,"crawl, creep; climb; scramble",pá
荷,"lotus, water lily, holland",hé
悉,"know, learn about, comprehend",xī
蒂,peduncle or stem of plants,dì
返,"return, revert to, restore",fǎn
井,"well, mine shaft, pit",jǐng
壮,"big, large; robust; name of tribe",zhuàng
薄,"thin, slight, weak; poor, stingy",báo
悄,"silent, quiet, still; anxious",qiāo
扫,"sweep, clear away; exterminate",sǎo
敏,"fast, quick, clever, smart",mǐn
碍,"obstruct, hinder, block, deter",ài
殖,"breed, spawn; increase; prosper",zhí
详,"detailed, complete, thorough",xiáng
迪,"enlighten, advance; progress",dí
矛,"spear, lance; KangXi radical 110",máo
霍,"quickly, suddenly; surname",huò
允,"to grant, to allow, to consent",yǔn
幅,"piece, strip, breadth of, hem",fú
撒,"release, cast away, let go; disperse; relax",sā
剩,"leftovers, residue, remains",shèng
凯,"triumphant; triumph, victory",kǎi
颗,"grain, kernel",kē
骂,"accuse, blame, curse, scold",mà
赏,"reward, grant, bestow; appreciate",shǎng
液,"sap, juice, liquid, fluid",yè
番,"to take turns; a turn, a time; to repeat",fān
箱,"case, box, chest, trunk",xiāng
贴,"paste to, stick on; attached to",tiē
漫,overflow of water; spreading,màn
酸,"tart, sour; acid; stiff; spoiled",suān
郎,"gentleman, young man; husband",láng
腰,waist; kidney,yāo
舒,"open up, unfold, stretch out; comfortable, easy",shū
眉,eyebrows; upper margin of book,méi
忧,"sad, grieved; grief, melancholy",yōu
浮,"to float, drift, waft; to exceed; superfluous",fú
辛,"bitter; toilsome, laborious; 8th heavenly stem",xīn
恋,"love; long for, yearn for; love",liàn
餐,"eat, dine; meal; food",cān
吓,"scare, frighten; intimidate",xià
挺,"to stand upright, straighten; rigid",tǐng
励,strive; encourage,lì
辞,"words, speech, expression, phrase",cí
艘,"counter for ships, vessels",sōu
键,"door bolt, lock bolt; key",jiàn
伍,"five, company of five; troops",wǔ
峰,"peak, summit; hump of camel",fēng
尺,,chǐ
昨,"yesterday; in former times, past",zuó
黎,"surname; numerous, many; black",lí
辈,"generation, lifetime; class",bèi
贯,a string of 1000 coins; to go through,guàn
侦,"spy, reconnoiter; detective",zhēn
滑,"slip, slide; slippery, polished",huá
券,"certificate, ticket; title deeds",quàn
崇,"esteem, honor, revere, venerate",chóng
扰,"disturb, annoy, agitate",rǎo
宪,"constitution, statute, law",xiàn
绕,entwine; wind around; surround,rào
趋,"hasten, hurry; be attracted to",qū
慈,"kind, charitable, benevolent",cí
乔,"tall, lofty; proud, stately",qiáo
阅,"examine, inspect, review, read",yuè
汗,"perspiration, sweat",hàn
枝,"branches, limbs; branch off",zhī
拖,"drag, tow, haul; delay, prolong",tuō
墨,ink; writing,mò
胁,"ribs, armpits; flank; threaten",xié
插,"insert, stick into; plant",chā
箭,arrow; type of bamboo,jiàn
腊,year end sacrifice; dried meat,là
粉,"powder, face powder; plaster",fěn
泥,"mud, mire; earth, clay; plaster",ní
氏,"clan, family; mister",shì
彭,name of ancient country; surname,péng
拔,"uproot, pull out",bá
骗,"swindle, cheat out of, defraud",piàn
凤,male phoenix; symbol of joy,fèng
慧,"bright, intelligent; intelligence",huì
媒,"go-between, matchmaker; medium",méi
佩,"belt ornament, pendant; wear at waist, tie to the belt; respect",pèi
愤,"resent, hate; indignant",fèn
扑,"pound, beat, strike; attack",pū
龄,age; years,líng
驱,"spur a horse on; expel, drive away",qū
惜,"pity, regret, rue, begrudge",xī
豪,"brave, heroic, chivalrous",háo
掩,"to cover (with the hand); shut, conceal; ambush",yǎn
兼,"unite, combine; connect; and",jiān
跃,"skip, jump, frolic",yuè
尸,corpse; to impersonate the dead; to preside; KangXi radical 44,shī
肃,pay respects; reverently,sù
帕,"turban, kerchief, veil; wrap",pà
驶,"sail, drive, pilot; fast, quick",shǐ
堡,"fort, fortress; town, village",bǎo
届,"numerary adjunct for time, term",jiè
欣,"happy, joyous, delighted",xīn
惠,"favor, benefit, confer kindness",huì
册,"book, volume, register, list",cè
储,"save money, store, reserve; heir",chǔ
飘,"whirlwind, cyclone; floating",piāo
桑,mulberry tree; surname,sāng
闲,"fence, guard; defend; idle time",xián
惨,"sad, pitiful, wretched; cruel",cǎn
洁,"clean, purify, pure",jié
踪,"footprints, traces, tracks",zōng
勃,"suddenly, sudden, quick",bó
宾,"guest, visitor; surname; submit",bīn
频,"frequently, again and again",pín
仇,"enemy, hate, hatred, enmity",chóu
磨,grind; polish; rub; wear out; a millstone,mó
递,"hand over, deliver; substitute",dì
邪,"wrong, evil, depraved, vicious, perverse, heterodox",xié
撞,"knock against, bump into, collide",zhuàng
拟,"draft; intend, plan, propose",nǐ
滚,turn,gǔn
奏,memorialize emperor; report,zòu
巡,"patrol, go on circuit, cruise",xún
颜,"face, facial appearance",yán
剂,medicinal preparation,jì
绩,spin; achievements,jī
贡,"offer tribute; tribute, gifts",gòng
疯,"crazy, insane, mentally ill",fēng
坡,"slope, bank, hillside",pō
瞧,"glance at, look at, see",qiáo
截,"cut off, stop, obstruct, intersect",jié
燃,"burn; light fire, ignite",rán
焦,"burned, scorched; anxious, vexed",jiāo
殿,hall; palace; temple,diàn
伪,"false, counterfeit, bogus",wěi
柳,willow tree; pleasure,liǔ
锁,"lock, padlock; shackles, chains",suǒ
逼,"compel, pressure, force; bother",bī
颇,"lean one side; very, rather",pō
昏,"dusk, nightfall, twilight, dark",hūn
劝,"recommend, advise, urge",quàn
呈,"submit, show; appear; petition",chéng
搜,"search, seek; investigate",sōu
勤,"industrious, diligent, attentive",qín
戒,"warn, caution, admonish",jiè
驾,"to drive, sail, fly; a cart, carriage",jià
漂,"float, drift; tossed about",piào
饮,drink; swallow; kind of drink,yǐn
曹,ministry officials; surname,cáo
朵,cluster of flowers; earlobe,duǒ
仔,"small thing, child; young animal",zǐ
柔,"soft; gentle, pliant",róu
俩,"two, pair",liǎ
孟,"first in series; great, eminent",mèng
腐,"rot, decay, spoil; rotten",fǔ
幼,"infant, young child; immature",yòu
践,"trample, tread upon, walk on",jiàn
籍,"record, register, list; census",jí
牧,"tend cattle, shepherd",mù
凉,"cool, cold; disheartened",liáng
牲,sacrificial animal; animal,shēng
佳,"good, auspicious; beautiful; delightful",jiā
娜,"elegant, graceful, delicate",nà
浓,"thick, strong, concentrated",nóng
芳,fragrant; virtuous; beautiful,fāng
稿,"draft, manuscript, rough copy",gǎo
竹,bamboo; flute; KangXi radical 118,zhú
腹,"stomach, belly, abdomen; inside",fù
跌,"stumble, slip, fall down; stamp",diē
逻,patrol; inspect; watch; patrol,luó
垂,"let down; suspend, hand; down",chuí
遵,"obey, comply with, follow; honor",zūn
脉,"blood vessels, veins, arteries",mài
貌,"countenance, appearance",mào
柏,"cypress, cedar",bǎi
狱,"prison, jail; case; lawsuit",yù
猜,"guess, conjecture, suppose; feel",cāi
怜,"pity, sympathize",lián
惑,"confuse, mislead, baffle; doubt",huò
陶,"pottery, ceramics",táo
兽,"beast, animal; bestial",shòu
帐,"tent; screen, mosquito net",zhàng
饰,"decorate, ornament, adorn",shì
贷,lend; borrow; pardon,dài
昌,"light of sun; good, proper",chāng
叙,"express, state, relate, narrate",xù
躺,"lie down, recline",tǎng
钢,"steel; hard, strong, tough",gāng
沟,"ditch, drain, narrow waterway",gōu
寄,"send, transmit, mail; rely on",jì
扶,"support, help; protect; hold on",fú
铺,"shop, store; place sleep, bed",pù
邓,surname,dèng
寿,"old age, long life; lifespan",shòu
惧,"fear, be afraid of, dread",jù
询,"inquire into, ask about; consult",xún
汤,"hot water; soup, gravy, broth",tāng
盗,"rob, steal; thief, bandit",dào
肥,"fat, plump, obese; fertile",féi
尝,"taste; experience, experiment",cháng
匆,"hastily, in haste, hurriedly",cōng
辉,"brightness, luster, brilliance",huī
奈,"but, how; bear, stand, endure",nài
扣,"knock, strike, rap, tap; button",kòu
廷,court,tíng
澳,"inlet, bay; dock, bank",ào
嘛,final exclamatory particle,ma
董,"direct, supervise; surname",dǒng
迁,"move, shift, change; transfer; relocate a capital city",qiān
凝,coagulate; congeal; freeze,níng
慰,"comfort, console, calm",wèi
厌,"dislike, detest, reject; satiate",yàn
脏,"internal organs, viscera; dirty",zàng
腾,fly; gallop; run; prance; rise,téng
幽,"quiet, secluded, tranquil; dark",yōu
怨,"hatred, enmity, resentment",yuàn
鞋,"shoes, footwear in general",xié
丢,discard,diū
埋,"bury, secrete, conceal",mái
泉,"spring, fountain; wealth, money",quán
涌,"surge up, bubble up, gush forth",yǒng
辖,linchpin of wheel; control,xiá
躲,"hide, secrete; avoid, escape",duǒ
晋,"advance, increase; promote",jìn
紫,"purple, violet; amethyst; surname",zǐ
艰,"difficult, hard; distressing",jiān
魏,kingdom of Wei; surname,wèi
吾,"i, my, our; resist, impede",wú
慌,"nervous, panicky, frantic",huāng
祝,pray for happiness or blessings,zhù
邮,"postal, mail; post office",yóu
吐,"vomit, spew out, cough up",tǔ
狠,"vicious, cruel; severely, extreme",hěn
鉴,"mirror, looking glass; reflect",jiàn
曰,say; KangXi radical 73,yuē
械,"weapons; implements, instruments",xiè
咬,"bite, gnaw",yǎo
邻,neighbor; neighborhood,lín
赤,,chì
挤,"crowd, squeeze, push against",jǐ
弯,"bend, curve",wān
椅,"chair, seat",yǐ
陪,"accompany, be with, keep company",péi
割,"cut, divide, partition; cede",gē
揭,"raise, lift up; surname",jiē
韦,tanned leather; surname; simplified form of KangXi radical number 178,wéi
悟,"to apprehend, realize, become aware",wù
聪,"intelligent, clever, bright",cōng
雾,"fog, mist, vapor, fine spray",wù
锋,"point of spear, sharp point",fēng
梯,"ladder, steps, stairs; lean",tī
猫,cat,māo
祥,"good luck, good omen; happiness",xiáng
阔,"broad, ample, wide; be apart",kuò
誉,"fame, reputation; praise",yù
筹,"chip, tally, token; raise money",chóu
丛,"bush, shrub; thicket; collection",cóng
牵,"drag, pull, lead by hand",qiān
鸣,cry of bird or animal; make sound,míng
沈,"sink, submerge; addicted to; surname",chén
阁,"chamber, pavilion; cabinet",gé
穆,"majestic, solemn, reverent; calm",mù
屈,"bend, flex; bent, crooked; crouch",qū
旨,"purpose, aim; excellent",zhǐ
袖,sleeve; put something in sleeve,xiù
猎,hunt; field sports,liè
臂,arm,bì
蛇,snake,shé
贺,congratulate; send present,hè
柱,"pillar, post; support; lean on",zhù
抛,throw (away),pāo
鼠,"rat, mouse; KangXi radical 208",shǔ
瑟,"large stringed musical instrument; dignified, massive; sound of wind",sè
戈,"halberd, spear, lance; rad. 62",gē
牢,"prison; stable, pen; secure",láo
逊,"humble, modest; yield",xùn
迈,take a big stride; pass by,mài
欺,"cheat, double-cross, deceive",qī
吨,"metric ton; (Cant.) to babble, gibberish",dūn
琴,Chinese lute or guitar,qín
衰,"decline, falter, decrease; weaken",shuāi
瓶,"jug, pitcher, vase, jar, bottle",píng
恼,"angered, filled with hate",nǎo
燕,"swallow (bird); comfort, enjoy",yàn
仲,"middle brother; go between, mediator; surname",zhòng
诱,"persuade, entice, induce; guide",yòu
狼,wolf,láng
池,"pool, pond; moat; cistern",chí
疼,"aches, pains; be fond of; love",téng
卢,"cottage, hut; surname; black",lú
仗,"rely upon; protector; fight; war, weaponry",zhàng
冠,"cap, crown, headgear",guān
粒,grain; small particle,lì
遥,"far away, distant, remote",yáo
吕,surname; a musical note,lǚ
玄,"deep, profound, abstruse; KangXi radical 95",xuán
尘,"dust, dirt, ashes, cinders",chén
冯,surname; gallop; by dint of,féng
抚,"pat, console, comfort; pacify",fǔ
浅,"shallow, not deep; superficial",qiǎn
敦,"esteem; honest, candid, sincere",dūn
纠,"investigate, inspect",jiū
钻,"drill, bore; pierce; diamond",zuān
晶,"crystal; clear, bright; radiant",jīng
岂,how? what?,qǐ
峡,"gorge, strait, ravine; isthmus",xiá
苍,blue; green,cāng
喷,"spurt, blow out, puff out",pēn
耗,"consume, use up; waste, squander",hào
凌,pure; virtuous; insult; maltreat,líng
敲,"strike, beat, pound, hammer; rap",qiāo
菌,"mushroom; germ, microbe",jūn
赔,"indemnify, suffer loss",péi
涂,surname; name of certain rivers,tú
粹,pure; unadulterated; select,cuì
扁,"flat; tablet, signboard",biǎn
亏,"lose, fail; damage; deficient",kuī
寂,"still, silent, quiet, desolate",jì
煤,"coal, coke, charcoal, carbon",méi
熊,a bear; brilliant; bright; surname,xióng
恭,"respectful, polite, reverent",gōng
湿,"wet, moist, humid, damp; illness",shī
循,"obey, comply with, follow",xún
暖,"warm, genial",nuǎn
糖,sugar; candy; sweets,táng
赋,tax; give; endow; army; diffuse,fù
抑,"press down, repress; curb, hinder",yì
秩,order; orderly; salary; decade,zhì
帽,"hat, cap; cap-like tops",mào
哀,"sad, mournful, pitiful; pity",āi
宿,"stop, rest, lodge, stay overnight; constellation",sù
踏,"step on, trample, tread on, walk",tà
烂,"rotten, spoiled, decayed",làn
袁,robe; surname,yuán
侯,"marquis, lord; target in archery",hóu
抖,"tremble, shake, rouse; give shake",dǒu
夹,be wedged or inserted between,jiā
昆,elder brother; descendants,kūn
肝,liver,gān
擦,"wipe, scrub, rub, scour; brush",cā
猪,"pig, hog, wild boar",zhū
炼,"smelt, refine; distill, condense",liàn
恒,"constant, regular, persistent",héng
慎,"act with care, be cautious",shèn
搬,"transfer, move, remove, shift",bān
纽,"knot; button; handle, knob; tie",niǔ
纹,"line, streak, stripe; wrinkle",wén
玻,glass,bō
渔,to fish; seize; pursue; surname,yú
磁,magnetic; magnetism; porcelain,cí
铜,"copper, brass, bronze",tóng
齿,"teeth; gears, cogs; age; simplified form of the KangXi radical number 211",chǐ
跨,"straddle, bestride, ride; carry",kuà
押,"mortgage, pledge; deposit; to pawn; to arrest, detain, guard",yā
怖,"terror, fear; frighten; terrified",bù
漠,"desert; aloof, indifferent, cool",mò
疲,"feel tired, be exhausted; weak",pí
叛,rebel; rebellion; rebellious,pàn
遣,"send, dispatch; send off, exile",qiǎn
兹,"now, here; this; time, year",zī
祭,"sacrifice to, worship",jì
醉,"intoxicated, drunk; addicted to",zuì
拳,fist; various forms of boxing,quán
弥,"extensive, full; fill; complete",mí
斜,"slanting, sloping, inclined",xié
档,"shelf; frame, crosspiece",dàng
稀,"rare, unusual, scarce; sparse",xī
捷,"win, victory, triumph",jié
肤,"skin; superficial, shallow",fū
疫,"epidemic, plague, pestilence",yì
肿,swell; swollen; swelling,zhǒng
豆,"beans, peas; bean-shaped",dòu
削,"scrape off, pare, trim",xuē
岗,post; position,gǎng
晃,"bright, dazzling; to sway, shake",huǎng
吞,"swallow; absorb, annex, engulf",tūn
宏,"wide, spacious, great, vast",hóng
癌,cancer; marmoset,ái
肚,belly; abdomen; bowels,dù
隶,subservient; servant; KangXi radical 171,lì
履,"footwear, shoes; walk on, tread",lǚ
涨,rise in price,zhǎng
耀,"shine, sparkle, dazzle; glory",yào
扭,"turn, twist, wrench; seize, grasp",niǔ
坛,"altar; arena, examination hall",tán
拨,move; dispel; distribute,bō
沃,"water, irrigate; fertile, rich",wò
绘,"draw, sketch, paint",huì
伐,"cut down, subjugate, attack",fá
堪,"adequately capable of, worthy of",kān
仆,"fall forward; lie prostrate, prone; servant",pū
郭,outer part (of a city); surname,guō
牺,"sacrifice, give up; sacrificial",xī
歼,"annihilate, wipe out, kill off",jiān
墓,"grave, tomb",mù
雇,"employ, to hire",gù
廉,"upright, honorable, honest",lián
契,"deed, contract, bond; engrave",qì
拼,"join together, link, incorporate",pīn
惩,"punish, reprimand; warn",chéng
捉,"grasp, clutch; catch, seize",zhuō
覆,cover; tip over; return; reply,fù
刷,"brush; clean with brush, scrub",shuā
劫,"take by force, coerce; disaster",jié
嫌,"hate, detest; suspect; criticize",xián
瓜,"melon, gourd, cucumber; rad. 97",guā
歇,"rest, stop, lodge",xiē
雕,"engrave, inlay, carve; exhaust; used for ",diāo
闷,"gloomy, depressed, melancholy",mèn
乳,"breast, nipples; milk, suckle",rǔ
串,string; relatives; conspire,chuàn
娃,baby; doll; pretty girl,wá
缴,"deliver, submit; hand over",jiǎo
唤,call,huàn
赢,"win; surplus, gain, profit",yíng
莲,"lotus, water lily; paradise",lián
霸,rule by might rather than right,bà
桃,peach; marriage; surname,táo
妥,"satisfactory, appropriate",tuǒ
瘦,"thin, emaciated, lean; meager",shòu
搭,"join together, attach to; add to",dā
赴,"go to; attend, be present",fù
岳,mountain peak; surname,yuè
嘉,excellent; joyful; auspicious,jiā
舱,hold of ship; cabin,cāng
俊,"talented, capable; handsome",jùn
址,"site, location, land for house",zhǐ
庞,"disorderly, messy; huge, big",páng
耕,"plow, cultivate",gēng
锐,"sharp, keen, acute, pointed",ruì
缝,"sew, mend",fèng
悔,"repent, show remorse, regret",huǐ
邀,"invite, welcome; meet, intercept",yāo
玲,tinkling of jade,líng
惟,"but, however, nevertheless; only",wéi
斥,"to scold, upbraid, accuse, reproach",chì
宅,"residence, dwelling, home; grave",zhái
添,"append, add to; increase",tiān
挖,"dig, dig out, gouge out, scoop",wā
呵,scold; laughing sound; yawn,ā
讼,"accuse; argue, dispute; litigate",sòng
氧,oxygen,yǎng
浩,"great, numerous, vast, abundant",hào
羽,"feather, plume; wings; rad. 124",yǔ
斤,"a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69",jīn
酷,"strong, stimulating; very",kù
掠,"rob, ransack, plunder; pass by",lüè
妖,"strange, weird, supernatural",yāo
祸,"misfortune, calamity, disaster",huò
侍,"serve, attend upon; attendant, servant; samurai",shì
乙,second; 2nd heavenly stem,yǐ
妨,"interfere with, impede, obstruct",fáng
贪,"be greedy, covet; covetous",tān
挣,"strive, endeavor, struggle",zhēng
汪,"vast, extensive, deep; surname",wāng
尿,urine; urinate,niào
莉,white jasmine,lì
悬,"hang, suspend, hoist; be hung",xuán
唇,lips,chún
翰,"writing brush, pen, pencil",hàn
仓,granary; berth; sea,cāng
轨,"track, rut, path",guǐ
枚,"stalk of shrub, trunk of tree",méi
盐,salt,yán
览,"look at, inspect; perceive",lǎn
傅,"tutor, teacher; assist; surname",fù
帅,"commander, commander-in-chief",shuài
庙,"temple, shrine; imperial court",miào
芬,"fragrance, aroma; perfume",fēn
屏,"folding screen, shield",píng
寺,"court, office; temple, monastery",sì
胖,"fat, obese; fatty",pàng
璃,glass,lí
愚,"stupid, doltish, foolish",yú
滴,drip; drop of water,dī
疏,"neglect; careless, lax",shū
萧,common artemisia; dejected,xiāo
姿,,zī
颤,"shiver, tremble; trembling",chàn
丑,"clown, comedian; 2nd terrestrial branch",chǒu
劣,"bad, inferior; slightly",liè
柯,"axe-handle; stalk, bough; surname",kē
寸,"inch; small, tiny; KangXi radical 41",cùn
扔,"throw, hurl; throw away, cast",rēng
盯,"rivet gaze upon, keep eyes on",dīng
辱,"humiliate, insult, abuse",rǔ
匹,bolt of cloth; counter for horses,pǐ
俱,"all, together; accompany",jù
辨,"distinguish, discriminate",biàn
饿,hungry; greedy for; hunger,è
蜂,"bee, wasp, hornet",fēng
哦,oh? really? is that so?,ó
腔,chest cavity; hollow in body,qiāng
郁,"sweet smelling, rich in aroma; (Cant.) to move, hit",yù
溃,flooding river; militarily defeat,kuì
谨,"prudent, cautious; attentive",jǐn
糟,"sediment, dregs; pickle",zāo
葛,edible bean; surname,gé
苗,sprouts; Miao nationality,miáo
肠,intestines; emotions; sausage,cháng
忌,"jealous, envious; fear",jì
溜,"slide, glide, slip; slippery",liū
鸿,species of wild swan; vast,hóng
爵,feudal title or rank,jué
鹏,fabulous bird of enormous size,péng
鹰,falcon; Accipiter species (various),yīng
笼,cage; cage-like basket,lóng
丘,hill; elder; empty; a name,qiū
桂,cassia or cinnamon,guì
滋,"grow, multiply, increase; thrive",zī
聊,"somewhat, slightly, at least",liáo
挡,"obstruct, impede; stop; resist",dǎng
纲,"heavy rope, hawser; main points",gāng
肌,muscle tissue; meat on bones,jī
茨,"thatching; caltrop, Tribulus terrestris",cí
壳,"casing, shell, husk",ké
痕,scar; mark; trace,hén
碗,"bowl, small dish",wǎn
穴,"cave, den, hole; KangXi radical 116",xué
膀,upper arm; shoulder; wing,bǎng
卓,"profound, brilliant, lofty",zhuō
贤,"virtuous, worthy, good; able",xián
卧,lie down; crouch,wò
膜,membrane; to kneel and worship,mó
毅,"resolute, decisive, firm, persist",yì
锦,"brocade, tapestry; embroidered",jǐn
欠,"owe, lack, be deficient; KangXi radical number 76",qiàn
哩,mile,lī
函,correspondence; a case; a box,hán
茫,"vast, boundless, widespread",máng
昂,"rise, raise; proud, bold; upright",áng
薛,kind of marsh grass; feudal state,xuē
皱,"wrinkles, creases, folds",zhòu
夸,"extravagant, luxurious; handsome",kuā
豫,"relaxed, comfortable, at ease",yù
胃,stomach; gizzard of fowl,wèi
舌,tongue; clapper of bell; KangXi radical 135,shé
剥,peel,bō
傲,"proud, haughty, overbearing",ào
拾,"pick up, collect, tidy up; accounting form of the numeral ten",shí
窝,"nest; cave, den; hiding place",wō
睁,open eyes; stare,zhēng
携,"lead by hand, take with; carry",xié
陵,"hill, mound; mausoleum",líng
哼,"hum; sing softly; groan, moan; (Cant.) an interjecting indicating disapproval",hēng
棉,cotton; cotton padded,mián
晴,"clear weather, fine weather",qíng
铃,bell,líng
填,"fill in, fill up; make good",tián
饲,raise animals; feed; nourish,sì
渴,"thirsty, parched; yearn, pine",kě
吻,kiss; the lips; coinciding,wěn
扮,dress up; dress up as,bàn
逆,"disobey, rebel; rebel, traitor",nì
脆,"crisp; fragile, frail; brittle",cuì
喘,"pant, gasp, breathe heavily",chuǎn
罩,basket for catching fish; cover,zhào
卜,fortune telling; prophesy,bo
炉,"fireplace, stove, oven, furnace",lú
柴,"firewood, faggots, fuel",chái
愉,"pleasant, delightful; please",yú
绳,"rope, string, cord; control",shéng
胎,"unborn child, embryo, fetus",tāi
蓄,"store, save, hoard, gather",xù
眠,"close eyes, sleep; hibernate",mián
竭,put forth great effort; exhaust,jié
喂,interjection to call attention,wèi
傻,"foolish, silly, stupid; an imbecile",shǎ
慕,"long for, desire; admire",mù
浑,"muddy, turbid; blend, merge, mix",hún
奸,"crafty, villainous, false",jiān
扇,fan; door panel,shàn
柜,"cabinet, cupboard; shop counter",guì
悦,"pleased, contented, gratified",yuè
拦,"obstruct, impede, bar, hinder",lán
诞,"bear children, give birth; birth",dàn
饱,,bǎo
乾,"dry; first hexagram; warming principle of the sun, penetrating and fertilizing, heavenly generative principle (male)",gān
泡,"bubbles, suds; blister; soak",pào
贼,"thief, traitor; kill",zéi
亭,pavilion; erect,tíng
夕,"evening, night, dusk; slanted",xī
爹,"father, daddy",diē
酬,"toast; reward, recompense",chóu
儒,Confucian scholar,rú
姻,relatives by marriage,yīn
卵,egg; ovum; roe; spawn,luǎn
氛,"gas, vapor, air",fēn
泄,leak; vent; flow; reveal,xiè
杆,pole; shaft of spear,gān
挨,"near, close by, next to, towards, against; to wait; to lean on",āi
僧,"Buddhist priest, monk; san of Sanskrit sangha",sēng
蜜,honey; sweet; nectar,mì
吟,"sing, hum; recite; type of poetry",yín
猩,species of orangutan,xīng
遂,"comply with, follow along; thereupon",suì
狭,"narrow, limited; narrow-minded",xiá
肖,"look like, resemble, be like",xiào
甜,"sweet, sweetness",tián
霞,rosy clouds,xiá
驳,"varicolored, variegated; mixed",bó
裕,"abundant, rich, plentiful",yù
顽,"obstinate, stubborn; recalcitrant",wán
於,"in, at, on; interjection alas!",yú
摘,"pluck, pick; select; specify",zhāi
矮,"short, dwarf; low",ǎi
秒,beard of grain or corn; a second,miǎo
卿,"noble, high officer",qīng
